Tested at The Flinders University of South Australia,,,
,,,
Cell Name:,CP156R_5,,
Notes:,,,
Cell Area (cm2):,0.1,,
Temperature (C):,25,,
Ideality [LnJ vs. V]: ,16.765,,
Jsat [Ln J vs. V] (A/m2): ,5.71E+01,,
Jsat [Ln J vs. V] (mA/cm2): ,5.71E+00,,
Schottky? : ,No,,
SBH [Ln J vs. V] (eV): ,0,,
R-Squared [Ln J vs. V]: ,0.966,,
,,,
,,,
,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
6.67E+00,5.19E-03,5.19E+01,3.46E+02
6.72E+00,5.29E-03,5.29E+01,3.56E+02
6.78E+00,5.45E-03,5.45E+01,3.69E+02
6.83E+00,5.59E-03,5.59E+01,3.82E+02
6.89E+00,5.72E-03,5.72E+01,3.94E+02
6.94E+00,5.86E-03,5.86E+01,4.07E+02
7.00E+00,5.97E-03,5.97E+01,4.18E+02
7.06E+00,6.11E-03,6.11E+01,4.31E+02
7.11E+00,6.27E-03,6.27E+01,4.46E+02
7.17E+00,6.44E-03,6.44E+01,4.62E+02
7.22E+00,6.63E-03,6.63E+01,4.79E+02
7.28E+00,6.79E-03,6.79E+01,4.94E+02
7.33E+00,6.94E-03,6.94E+01,5.09E+02
7.39E+00,7.08E-03,7.08E+01,5.23E+02
7.44E+00,7.29E-03,7.29E+01,5.42E+02
7.50E+00,7.46E-03,7.46E+01,5.59E+02
7.56E+00,7.69E-03,7.69E+01,5.81E+02
7.61E+00,7.90E-03,7.90E+01,6.01E+02
7.67E+00,8.10E-03,8.10E+01,6.21E+02
7.72E+00,8.30E-03,8.30E+01,6.41E+02
7.78E+00,8.57E-03,8.57E+01,6.66E+02
7.83E+00,8.79E-03,8.79E+01,6.89E+02
7.89E+00,9.13E-03,9.13E+01,7.20E+02
7.94E+00,9.43E-03,9.43E+01,7.49E+02
8.00E+00,9.71E-03,9.71E+01,7.77E+02
8.06E+00,9.99E-03,9.99E+01,8.05E+02
8.11E+00,1.03E-02,1.03E+02,8.36E+02
8.17E+00,1.06E-02,1.06E+02,8.69E+02
8.22E+00,1.10E-02,1.10E+02,9.05E+02
8.28E+00,1.14E-02,1.14E+02,9.42E+02
8.33E+00,1.18E-02,1.18E+02,9.80E+02
8.39E+00,1.22E-02,1.22E+02,1.02E+03
8.44E+00,1.26E-02,1.26E+02,1.07E+03
8.50E+00,1.31E-02,1.31E+02,1.11E+03
8.56E+00,1.36E-02,1.36E+02,1.16E+03
8.61E+00,1.40E-02,1.40E+02,1.21E+03
8.67E+00,1.45E-02,1.45E+02,1.26E+03
8.72E+00,1.50E-02,1.50E+02,1.31E+03
8.78E+00,1.55E-02,1.55E+02,1.36E+03
8.83E+00,1.61E-02,1.61E+02,1.42E+03
8.89E+00,1.66E-02,1.66E+02,1.48E+03
8.94E+00,1.71E-02,1.71E+02,1.53E+03
9.00E+00,1.77E-02,1.77E+02,1.59E+03
9.06E+00,1.82E-02,1.82E+02,1.65E+03
9.11E+00,1.88E-02,1.88E+02,1.71E+03
9.17E+00,1.93E-02,1.93E+02,1.77E+03
9.22E+00,1.98E-02,1.98E+02,1.83E+03
9.28E+00,2.03E-02,2.03E+02,1.88E+03
9.33E+00,2.08E-02,2.08E+02,1.94E+03
9.39E+00,2.13E-02,2.13E+02,2.00E+03
9.44E+00,2.17E-02,2.17E+02,2.05E+03
9.50E+00,2.22E-02,2.22E+02,2.10E+03
9.56E+00,2.25E-02,2.25E+02,2.15E+03
9.61E+00,2.29E-02,2.29E+02,2.20E+03
9.67E+00,2.33E-02,2.33E+02,2.26E+03
9.72E+00,2.37E-02,2.37E+02,2.31E+03
9.78E+00,2.41E-02,2.41E+02,2.35E+03
9.83E+00,2.44E-02,2.44E+02,2.40E+03
9.89E+00,2.48E-02,2.48E+02,2.45E+03
9.94E+00,2.52E-02,2.52E+02,2.50E+03
1.00E+01,2.56E-02,2.56E+02,2.56E+03
-1.00E+00,2.80E-04,2.80E+00,-2.80E+00
