Tested at The Flinders University of South Australia,,,,,,
,,,,,,
Cell Name:,CP156U_3,,,,,
Notes:,,,,,,
Cell Area (cm2):,0.1,,,,,
Temperature (C):,25,,,,,
Ideality [LnJ vs. V]: ,106.46,,,,,
Jsat [Ln J vs. V] (A/m2): ,6.66E+01,,,,,
Jsat [Ln J vs. V] (mA/cm2): ,6.66E+00,,,,,
Schottky? : ,No,,,,,
SBH [Ln J vs. V] (eV): ,0,,,,,
R-Squared [Ln J vs. V]: ,0.999,,,,,
,,,,,,
,,,,,,
,,,,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2),,,
1.41E+00,3.57E-04,3.57E+00,5.04E+00,,,1.888581478
1.36E+00,3.44E-04,3.44E+00,4.69E+00,,,1.855467596
1.31E+00,3.31E-04,3.31E+00,4.35E+00,,,1.81913441
1.26E+00,3.20E-04,3.20E+00,4.05E+00,,,1.790069831
1.21E+00,3.09E-04,3.09E+00,3.74E+00,,,1.757811139
1.16E+00,3.01E-04,3.01E+00,3.50E+00,,,1.73597523
1.11E+00,2.90E-04,2.90E+00,3.22E+00,,,1.702694923
1.06E+00,2.81E-04,2.81E+00,2.98E+00,,,1.677301404
1.01E+00,2.73E-04,2.73E+00,2.75E+00,,,1.651517484
9.60E-01,2.60E-04,2.60E+00,2.50E+00,,,1.613545785
9.09E-01,2.54E-04,2.54E+00,2.31E+00,,,1.592724082
8.59E-01,2.50E-04,2.50E+00,2.15E+00,,,1.580705539
8.08E-01,2.43E-04,2.43E+00,1.96E+00,,,1.559445414
7.58E-01,2.37E-04,2.37E+00,1.79E+00,,,1.537891414
7.07E-01,2.33E-04,2.33E+00,1.65E+00,,,1.525437642
6.57E-01,2.27E-04,2.27E+00,1.49E+00,,,1.506565631
6.06E-01,2.21E-04,2.21E+00,1.34E+00,,,1.487454201
5.56E-01,2.18E-04,2.18E+00,1.21E+00,,,1.477805806
5.05E-01,2.12E-04,2.12E+00,1.07E+00,,,1.455046391
4.55E-01,2.11E-04,2.11E+00,9.58E-01,,,1.451764444
4.04E-01,2.09E-04,2.09E+00,8.44E-01,,,1.445181649
3.54E-01,2.09E-04,2.09E+00,7.38E-01,,,1.445181649
3.03E-01,2.07E-04,2.07E+00,6.27E-01,,,1.438565257
2.53E-01,2.01E-04,2.01E+00,5.08E-01,,,1.41853798
2.02E-01,2.02E-04,2.02E+00,4.08E-01,,,1.421896621
1.52E-01,2.02E-04,2.02E+00,3.06E-01,,,1.421896621
1.01E-01,2.02E-04,2.02E+00,2.04E-01,,,1.421896621
5.05E-02,1.98E-04,1.98E+00,1.00E-01,,,1.408417552
0.00E+00,1.97E-04,1.97E+00,0.00E+00,,,1.405030249
1.00E+01,1.90E-02,1.90E+02,1.90E+03,,,
